ID,sex,size ,audience,posi,bites ,bitesfour,forlat,mobi ,timenear,timefar,agre,court,gono ,observer
28MF2MIL,male ,1.87,mix,far,135,54,149,146,485,375,0,0,12,lupi
27MF5MIL,male ,1.67,mix,far,20,0,1116,29,586,513,0,0,4,lupi
31MF2MIL,male ,1.72,mix,far,83,16,85,234,223,350,0,0,4,lupi
3MF1MIC,male ,1.7,mix,near,39,15,6,92,919,37,0,0,35,lupi
5MF3MIC,male ,1.7,mix,near,211,120,30,32,1045,0,0,11,9,lupi
8MF1MIC,male ,1.92,mix,near,174,169,24,128,973,16,0,0,9,lupi
8MF6MIC,male ,1.76,mix,near,115,59,21,59,1021,25,0,0,8,lupi
9MF4MIC,male ,1.7,mix,near,182,160,4,47,1110,0,0,0,18,lupi
14MF3MIC,male ,1.86,mix,near,114,37,78,219,647,53,0,0,7,lupi
15MF6MIC,male ,1.82,mix,near,68,41,73,133,584,155,0,0,9,lupi
16MF5MIC,male ,1.74,mix,near,112,0,676,22,1083,5,0,0,7,lupi
17MF2MIC,male ,1.7,mix,near,103,79,15,82,757,48,0,0,3,lupi
18MF4MIC,male ,1.74,mix,near,96,74,9,9,1113,6,2,0,9,lupi
19MF3MIC,male ,1.78,mix,near,43,33,32,94,487,403,0,0,4,lupi
20MF4MIC,male ,1.8,mix,near,69,0,750,110,833,30,1,0,10,lupi
20MF5MIC,male ,1.95,mix,near,42,35,72,92,783,53,0,0,5,lupi
21MF2MIC,male ,1.7,mix,near,122,25,118,83,990,0,0,0,8,lupi
22MF3MIC,male ,1.7,mix,near,137,0,491,65,894,0,3,0,3,lupi
23MF5MIC,male ,1.62,mix,near,138,99,34,54,983,8,2,0,11,lupi
24MF6MIC,male ,1.62,mix,near,13,11,11,5,1196,0,1,0,5,lupi
25MF1MIC,male ,1.62,mix,near,22,17,31,31,1126,0,0,0,4,lupi
26MF3MIC,male ,1.7,mix,near,56,37,48,161,791,67,0,0,17,lupi
29MF5MIC,male ,1.72,mix,near,43,38,153,93,404,528,0,0,15,lupi
32MF4MIC,male ,1.74,mix,near,102,68,4,126,602,327,0,0,19,lupi
34MF3MIC,male ,1.84,mix,near,46,21,106,37,1110,5,1,18,21,lupi
35MF6MIC,male ,1.75,mix,near,16,0,393,79,921,88,0,0,10,lupi
36MF1MIC,male ,1.74,mix,near,40,17,84,61,1032,24,0,0,7,lupi
38MF3MIC,male ,1.65,mix,near,43,16,115,87,838,117,0,0,10,lupi
28MF1MIC,male ,1.78,mix,near,121,30,138,147,601,248,0,9,14,lupi
27MF2MIC,male ,1.77,mix,near,20,13,63,113,403,117,0,0,10,lupi
27MF6MIC,male ,1.7,mix,near,17,11,38,25,1072,115,0,0,2,lupi
31MF1MIC,male ,1.6,mix,near,0,43,1200,186,561,128,0,0,6,lupi
31MF6MIC,male ,1.56,mix,near,0,33,1200,24,1096,0,0,0,2,lupi
